,open,high,close,low,volume
1970-01-01 00:00:00.000001759,11.5,11.58,11.4,11.36,1204323
1970-01-01 00:00:00.000001758,11.31,11.53,11.51,11.31,1454361
1970-01-01 00:00:00.000001757,11.37,11.49,11.31,11.3,1398276
1970-01-01 00:00:00.000001756,11.53,11.59,11.4,11.37,1841623
1970-01-01 00:00:00.000001755,11.56,11.74,11.56,11.46,2115531
1970-01-01 00:00:00.000001754,11.32,11.62,11.55,11.31,2030049
1970-01-01 00:00:00.000001753,11.43,11.53,11.38,11.31,2170210
1970-01-01 00:00:00.000001752,11.18,11.42,11.42,11.13,2841749
1970-01-01 00:00:00.000001751,10.85,11.21,11.17,10.83,3076292
1970-01-01 00:00:00.000001750,10.9,10.92,10.83,10.81,868297
1970-01-01 00:00:00.000001749,11.0,11.06,10.91,10.88,1075784
1970-01-01 00:00:00.000001748,10.9,11.01,10.97,10.81,1402499
1970-01-01 00:00:00.000001747,10.77,10.96,10.94,10.76,1767836
1970-01-01 00:00:00.000001746,10.71,10.82,10.76,10.71,1069461
1970-01-01 00:00:00.000001745,10.84,10.88,10.73,10.71,1221791
1970-01-01 00:00:00.000001744,10.87,10.89,10.88,10.76,1087057
1970-01-01 00:00:00.000001743,10.96,11.11,10.89,10.84,1784101
1970-01-01 00:00:00.000001742,10.8,10.88,10.79,10.73,1324557
1970-01-01 00:00:00.000001741,10.56,10.9,10.81,10.52,2169177
1970-01-01 00:00:00.000001740,10.59,10.67,10.6,10.48,1607628
1970-01-01 00:00:00.000001739,10.5,10.62,10.61,10.48,1113812
1970-01-01 00:00:00.000001738,10.52,10.57,10.53,10.46,941568
1970-01-01 00:00:00.000001737,10.51,10.65,10.54,10.46,1240027
1970-01-01 00:00:00.000001736,10.64,10.81,10.5,10.45,2009818
1970-01-01 00:00:00.000001735,10.71,10.82,10.69,10.66,1457675
1970-01-01 00:00:00.000001734,10.58,11.03,10.8,10.56,3165914
1970-01-01 00:00:00.000001733,10.26,10.63,10.62,10.21,2232641
1970-01-01 00:00:00.000001732,10.28,10.39,10.28,10.22,1478036
1970-01-01 00:00:00.000001731,10.07,10.32,10.29,10.06,1453203
1970-01-01 00:00:00.000001730,10.22,10.27,10.06,10.04,1305454
1970-01-01 00:00:00.000001729,10.24,10.29,10.25,10.12,1010213
1970-01-01 00:00:00.000001728,10.38,10.41,10.28,10.27,1246391
1970-01-01 00:00:00.000001727,10.43,10.47,10.4,10.36,857157
1970-01-01 00:00:00.000001726,10.42,10.49,10.43,10.37,906361
1970-01-01 00:00:00.000001725,10.53,10.55,10.46,10.42,981846
1970-01-01 00:00:00.000001724,10.63,10.68,10.55,10.53,1085458
1970-01-01 00:00:00.000001723,10.52,10.65,10.64,10.51,1191088
1970-01-01 00:00:00.000001722,10.45,10.57,10.52,10.43,872759
1970-01-01 00:00:00.000001721,10.51,10.57,10.49,10.38,1302189
1970-01-01 00:00:00.000001720,10.56,10.63,10.53,10.51,1274136
1970-01-01 00:00:00.000001719,10.45,10.66,10.6,10.42,1740021
1970-01-01 00:00:00.000001718,10.35,10.49,10.4,10.32,953202
1970-01-01 00:00:00.000001717,10.45,10.45,10.36,10.31,1028142
1970-01-01 00:00:00.000001716,10.45,10.52,10.47,10.42,864466
1970-01-01 00:00:00.000001715,10.38,10.47,10.45,10.37,872663
1970-01-01 00:00:00.000001714,10.53,10.54,10.4,10.39,1293216
1970-01-01 00:00:00.000001713,10.56,10.61,10.54,10.49,1671397
1970-01-01 00:00:00.000001712,10.55,10.75,10.6,10.5,3750208
1970-01-01 00:00:00.000001711,10.3,10.38,10.23,10.2,1409400
1970-01-01 00:00:00.000001710,10.53,10.55,10.33,10.3,1768039
1970-01-01 00:00:00.000001709,10.48,10.59,10.56,10.41,1641262
1970-01-01 00:00:00.000001708,10.38,10.47,10.47,10.34,1210673
1970-01-01 00:00:00.000001707,10.35,10.44,10.38,10.3,1113974
1970-01-01 00:00:00.000001706,10.33,10.64,10.38,10.33,2016166
1970-01-01 00:00:00.000001705,10.4,10.45,10.33,10.33,1345640
1970-01-01 00:00:00.000001704,10.3,10.47,10.43,10.26,1817319
1970-01-01 00:00:00.000001703,10.45,10.5,10.33,10.32,1655930
1970-01-01 00:00:00.000001702,10.59,10.6,10.49,10.43,1828103
1970-01-01 00:00:00.000001701,10.42,10.59,10.59,10.41,1845344
1970-01-01 00:00:00.000001700,10.51,10.7,10.49,10.4,3082693
1970-01-01 00:00:00.000001699,10.49,10.6,10.5,10.46,1981905
1970-01-01 00:00:00.000001698,10.78,10.88,10.53,10.5,2862609
1970-01-01 00:00:00.000001697,10.88,11.24,10.85,10.84,3567480
1970-01-01 00:00:00.000001696,10.65,10.91,10.9,10.62,4922325
1970-01-01 00:00:00.000001695,9.78,10.8,10.8,9.77,5055285
1970-01-01 00:00:00.000001694,9.79,9.84,9.82,9.73,1123564
1970-01-01 00:00:00.000001693,9.76,9.81,9.81,9.65,1605243
1970-01-01 00:00:00.000001692,9.58,9.67,9.67,9.52,1656814
1970-01-01 00:00:00.000001691,9.62,9.67,9.61,9.48,2062015
1970-01-01 00:00:00.000001690,9.3,9.68,9.68,9.29,1995410
1970-01-01 00:00:00.000001689,9.19,9.43,9.38,9.11,1803592
1970-01-01 00:00:00.000001688,9.42,9.47,9.27,9.07,1634214
1970-01-01 00:00:00.000001687,9.41,9.48,9.41,9.34,1055260
1970-01-01 00:00:00.000001686,9.46,9.56,9.46,9.38,1357217
1970-01-01 00:00:00.000001685,9.61,9.7,9.5,9.49,1579122
1970-01-01 00:00:00.000001684,9.69,9.88,9.7,9.58,2376252
1970-01-01 00:00:00.000001683,9.47,9.67,9.62,9.44,2272287
1970-01-01 00:00:00.000001682,9.33,9.54,9.5,9.27,2162514
1970-01-01 00:00:00.000001681,9.23,9.34,9.33,9.07,1759123
1970-01-01 00:00:00.000001680,9.05,9.18,9.16,8.96,1135545
1970-01-01 00:00:00.000001679,9.16,9.26,9.1,9.04,1580320
1970-01-01 00:00:00.000001678,9.16,9.2,9.17,9.1,963981
1970-01-01 00:00:00.000001677,9.21,9.24,9.2,9.0,1755132
1970-01-01 00:00:00.000001676,9.33,9.39,9.23,9.23,1482296
1970-01-01 00:00:00.000001675,9.19,9.35,9.34,9.16,1438313
1970-01-01 00:00:00.000001674,9.16,9.29,9.21,9.13,745133
1970-01-01 00:00:00.000001673,9.13,9.27,9.19,9.11,772582
1970-01-01 00:00:00.000001672,9.08,9.22,9.17,9.03,934686
1970-01-01 00:00:00.000001671,9.16,9.19,9.09,9.09,858621
1970-01-01 00:00:00.000001670,9.16,9.19,9.18,9.09,766194
1970-01-01 00:00:00.000001669,9.23,9.3,9.15,9.11,1121156
1970-01-01 00:00:00.000001668,9.1,9.44,9.27,9.07,1991622
1970-01-01 00:00:00.000001667,9.19,9.19,9.11,9.08,864194
1970-01-01 00:00:00.000001666,9.19,9.22,9.2,9.15,733610
1970-01-01 00:00:00.000001665,9.39,9.42,9.21,9.21,1158366
1970-01-01 00:00:00.000001664,9.42,9.48,9.39,9.35,853853
1970-01-01 00:00:00.000001663,9.11,9.47,9.45,9.08,1661592
