开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
12.2,12.01,12.21,12.01,824251,996600577.63,1.64,-1.64,-0.2,0.42
11.99,11.93,12.0,11.81,882744,1050002541.88,1.58,-0.67,-0.08,0.45
11.93,12.1,12.13,11.84,511429,613772897.17,2.43,1.42,0.17,0.26
12.11,11.98,12.13,11.95,566074,680275577.83,1.49,-0.99,-0.12,0.29
11.98,11.87,11.99,11.8,763997,906316373.61,1.59,-0.92,-0.11,0.39
11.82,11.6,11.84,11.58,1179587,1376758356.68,2.19,-2.27,-0.27,0.61
11.6,11.59,11.68,11.5,743023,861646489.19,1.55,-0.09,-0.01,0.38
11.68,11.93,11.97,11.64,1221843,1446502669.25,2.85,2.93,0.34,0.63
11.88,11.91,12.0,11.82,521846,620531416.42,1.51,-0.17,-0.02,0.27
11.91,11.84,12.09,11.82,833273,997039311.52,2.27,-0.59,-0.07,0.43
11.89,11.94,12.07,11.88,643698,770386878.47,1.6,0.84,0.1,0.33
11.96,12.12,12.2,11.86,869397,1048266235.89,2.85,1.51,0.18,0.45
12.06,11.88,12.09,11.85,1315285,1566929273.97,1.98,-1.98,-0.24,0.68
11.82,11.79,11.9,11.76,758747,896015708.76,1.18,-0.76,-0.09,0.39
11.76,11.77,11.84,11.69,849988,1000183566.92,1.27,-0.17,-0.02,0.44
11.55,11.47,11.73,11.46,1069200,1237376775.64,2.29,-2.55,-0.3,0.55
11.49,11.61,11.63,11.39,925301,1064567231.22,2.09,1.22,0.14,0.48
11.61,11.63,11.67,11.57,842034,978869317.29,0.86,0.17,0.02,0.43
11.63,11.45,11.63,11.41,953997,1096351096.71,1.89,-1.55,-0.18,0.49
11.44,11.36,11.46,11.35,544551,620374307.69,0.96,-0.79,-0.09,0.28
11.36,11.35,11.48,11.34,616583,703681563.97,1.23,-0.09,-0.01,0.32
11.3,11.18,11.3,11.15,676577,757975991.51,1.32,-1.5,-0.17,0.35
11.2,11.28,11.32,11.17,461702,519520687.33,1.34,0.89,0.1,0.24
11.28,11.3,11.33,11.22,365396,412039353.93,0.98,0.18,0.02,0.19
11.29,11.18,11.29,11.17,485906,544534825.51,1.06,-1.06,-0.12,0.25
11.18,11.23,11.31,11.15,519053,583494654.79,1.43,0.45,0.05,0.27
11.24,11.49,11.53,11.23,885091,1009887428.65,2.67,2.32,0.26,0.46
11.46,11.4,11.49,11.32,616301,701885269.78,1.48,-0.78,-0.09,0.32
11.36,11.34,11.4,11.3,423482,479726282.47,0.88,-0.53,-0.06,0.22
11.3,11.24,11.34,11.21,597096,672396816.4,1.15,-0.88,-0.1,0.31
11.2,11.2,11.27,11.18,484441,543212455.87,0.8,-0.36,-0.04,0.25
11.25,11.2,11.28,11.17,495882,556581581.65,0.98,0.0,0.0,0.26
11.22,11.21,11.26,11.19,570809,640131787.1,0.63,0.09,0.01,0.29
11.23,11.24,11.36,11.22,736084,830230820.88,1.25,0.27,0.03,0.38
11.32,11.43,11.47,11.27,1124230,1281848378.91,1.78,1.69,0.19,0.58
11.43,11.46,11.55,11.4,719147,825295738.24,1.31,0.26,0.03,0.37
11.41,11.31,11.41,11.26,608343,687262893.86,1.31,-1.31,-0.15,0.31
11.29,11.25,11.32,11.22,471966,531299772.68,0.88,-0.53,-0.06,0.24
11.23,11.31,11.32,11.23,382196,430771279.03,0.8,0.53,0.06,0.2
11.33,11.32,11.44,11.29,554070,629696111.29,1.33,0.09,0.01,0.29
11.31,11.34,11.39,11.28,377103,427375950.49,0.97,0.18,0.02,0.19
11.33,11.26,11.33,11.24,426852,480713395.7,0.79,-0.71,-0.08,0.22
11.45,11.72,11.73,11.44,2032958,2358815159.63,2.58,4.09,0.46,1.05
11.65,11.67,11.74,11.56,751663,875260135.14,1.54,-0.43,-0.05,0.39
11.68,11.75,11.87,11.65,1115196,1314228293.84,1.89,0.69,0.08,0.57
11.69,12.26,12.3,11.67,2347013,2839828236.62,5.36,4.34,0.51,1.21
12.3,12.32,12.5,12.23,1854952,2288940410.58,2.2,0.49,0.06,0.96
12.26,12.16,12.37,12.13,957735,1169570704.83,1.95,-1.3,-0.16,0.49
12.06,12.03,12.24,11.93,1115900,1343864165.36,2.55,-1.07,-0.13,0.58
11.99,12.33,12.37,11.95,1175848,1433255493.11,3.49,2.49,0.3,0.61
12.42,12.3,12.53,12.21,1303131,1611435431.36,2.6,-0.24,-0.03,0.67
12.21,12.16,12.25,12.12,646913,786506452.16,1.06,-1.14,-0.14,0.33
12.12,12.1,12.21,12.0,725705,877489187.97,1.73,-0.49,-0.06,0.37
12.06,12.17,12.2,12.05,577608,702060796.64,1.24,0.58,0.07,0.3
12.15,12.16,12.21,12.06,475595,577123919.68,1.23,-0.08,-0.01,0.25
12.17,11.89,12.27,11.89,943539,1132867239.31,3.13,-2.22,-0.27,0.49
11.76,11.67,11.78,11.59,975920,1139185249.46,1.6,-1.85,-0.22,0.5
11.69,11.73,11.8,11.6,712813,834163039.6,1.71,0.51,0.06,0.37
11.67,11.73,11.85,11.61,572904,671706045.36,2.05,0.0,0.0,0.3
11.67,11.57,11.7,11.46,965058,1116292661.67,2.05,-1.36,-0.16,0.5
11.58,11.56,11.74,11.53,659819,767047286.89,1.82,-0.09,-0.01,0.34
11.56,11.32,11.58,11.32,701498,799641423.76,2.25,-2.08,-0.24,0.36
11.38,11.37,11.45,11.31,606808,689991238.06,1.24,0.44,0.05,0.31
11.35,11.25,11.42,11.24,691810,783102827.23,1.58,-1.06,-0.12,0.36
11.29,11.13,11.32,11.05,1291271,1439197083.69,2.4,-1.07,-0.12,0.67
11.1,11.23,11.33,11.08,845350,946760250.6,2.25,0.9,0.1,0.44
11.84,11.52,11.93,11.49,1997610,2336205800.56,3.92,2.58,0.29,1.03
11.47,11.31,11.49,11.13,1964961,2217588610.12,3.13,-1.82,-0.21,1.01
11.27,11.13,11.27,11.13,1375638,1537573550.57,1.24,-1.59,-0.18,0.71
11.14,11.13,11.22,11.12,806474,900123574.83,0.9,0.0,0.0,0.42
11.19,11.32,11.36,11.19,1138705,1285169019.19,1.53,1.71,0.19,0.59
11.35,11.56,11.59,11.33,1410029,1621769196.4,2.3,2.12,0.24,0.73
11.5,11.39,11.51,11.36,804177,917888858.57,1.3,-1.47,-0.17,0.41
11.33,11.43,11.46,11.3,634841,721905681.98,1.4,0.35,0.04,0.33
11.4,11.33,11.44,11.32,540042,613812175.91,1.05,-0.87,-0.1,0.28
11.28,11.27,11.32,11.23,479030,539624962.82,0.79,-0.53,-0.06,0.25
11.3,11.34,11.4,11.27,654486,741764911.22,1.15,0.62,0.07,0.34
11.35,11.28,11.35,11.25,495485,559058535.52,0.88,-0.53,-0.06,0.26
11.29,11.25,11.32,11.21,490218,551747627.68,0.98,-0.27,-0.03,0.25
11.28,11.29,11.33,11.25,551650,622906052.62,0.71,0.36,0.04,0.28
11.35,11.22,11.4,11.2,890476,1005529160.77,1.77,-0.62,-0.07,0.46
11.22,11.23,11.24,11.14,501325,561449769.63,0.89,0.09,0.01,0.26
11.22,11.21,11.23,11.16,503664,564044044.21,0.62,-0.18,-0.02,0.26
11.2,11.15,11.22,11.15,558872,624785494.94,0.62,-0.54,-0.06,0.29
11.14,11.05,11.14,11.04,843930,934673193.87,0.9,-0.9,-0.1,0.43
11.03,11.24,11.25,11.03,911484,1017137921.82,1.99,1.72,0.19,0.47
11.24,11.22,11.32,11.19,761211,856022502.11,1.16,-0.18,-0.02,0.39
11.22,11.16,11.26,11.14,444980,497885810.84,1.07,-0.53,-0.06,0.23
11.15,11.17,11.22,11.15,490311,547905820.77,0.63,0.09,0.01,0.25
11.19,11.2,11.24,11.18,520697,583649730.04,0.54,0.27,0.03,0.27
11.16,11.11,11.17,11.06,695828,772959353.15,0.98,-0.8,-0.09,0.36
11.19,11.02,11.2,11.02,820749,910160341.9,1.62,-0.81,-0.09,0.42
11.09,10.98,11.09,10.96,724116,797663827.0,1.18,-0.36,-0.04,0.37
11.11,11.11,11.16,11.04,853058,947562324.75,1.09,1.18,0.13,0.44
11.03,11.0,11.07,10.95,684483,753110725.51,1.08,-0.99,-0.11,0.35
11.0,11.01,11.03,10.95,501624,550988719.63,0.73,0.09,0.01,0.26
11.01,11.02,11.05,10.96,493525,543170900.73,0.82,0.09,0.01,0.25
10.99,10.95,11.02,10.91,651825,713979896.11,1.0,-0.64,-0.07,0.34
10.91,10.6,10.92,10.59,1188961,1271914676.53,3.01,-3.2,-0.35,0.61
10.55,10.6,10.67,10.51,526139,557618632.37,1.51,0.0,0.0,0.27
10.59,10.5,10.6,10.43,530404,557032228.65,1.6,-0.94,-0.1,0.27
10.54,10.55,10.61,10.44,760653,801528403.67,1.62,0.48,0.05,0.39
10.51,10.38,10.54,10.36,1411450,1470971923.59,1.71,-1.61,-0.17,0.73
10.31,10.41,10.42,10.3,599991,621915276.9,1.16,0.29,0.03,0.31
10.38,10.45,10.48,10.33,919771,957587534.43,1.44,0.38,0.04,0.47
10.4,10.45,10.47,10.35,805690,837646002.04,1.15,0.0,0.0,0.42
10.43,10.46,10.49,10.41,652855,682212137.64,0.77,0.1,0.01,0.34
10.55,10.48,10.56,10.45,567300,595211885.0,1.05,0.19,0.02,0.29
10.5,10.48,10.6,10.47,619430,652316669.93,1.24,0.0,0.0,0.32
10.49,10.48,10.52,10.43,705463,738879704.3,0.86,0.0,0.0,0.36
10.51,10.69,10.69,10.51,1007062,1069206837.68,1.72,2.0,0.21,0.52
10.66,10.6,10.66,10.58,640866,679815569.19,0.75,-0.84,-0.09,0.33
10.58,10.5,10.6,10.45,877819,923622008.11,1.42,-0.94,-0.1,0.45
10.46,10.49,10.52,10.43,639136,669639052.44,0.86,-0.1,-0.01,0.33
10.45,10.3,10.47,10.29,1045044,1080649733.98,1.72,-1.81,-0.19,0.54
10.31,10.25,10.33,10.22,770043,789007117.83,1.07,-0.49,-0.05,0.4
10.24,10.27,10.33,10.23,596859,613377697.97,0.98,0.2,0.02,0.31
10.37,10.37,10.45,10.34,1109140,1152154780.34,1.07,0.97,0.1,0.57
10.38,10.24,10.39,10.23,922622,948395097.33,1.54,-1.25,-0.13,0.48
10.22,10.15,10.25,10.12,903362,917616681.28,1.27,-0.88,-0.09,0.47
10.15,10.19,10.22,10.1,639528,650077370.01,1.18,0.39,0.04,0.33
10.23,10.28,10.35,10.22,1041166,1072311504.28,1.28,0.88,0.09,0.54
10.26,10.16,10.31,10.14,737490,753064757.94,1.65,-1.17,-0.12,0.38
10.15,10.15,10.16,10.07,846656,855904311.98,0.89,-0.1,-0.01,0.44
10.11,10.1,10.13,10.08,684695,691423444.34,0.49,-0.49,-0.05,0.35
10.09,10.01,10.09,9.97,836188,836268368.75,1.19,-0.89,-0.09,0.43
9.99,9.95,10.02,9.95,786175,784405804.65,0.7,-0.6,-0.06,0.41
9.95,9.72,9.97,9.7,1467597,1438320264.11,2.71,-2.31,-0.23,0.76
9.69,9.68,9.73,9.62,901765,871481712.43,1.13,-0.41,-0.04,0.46
9.65,9.66,9.68,9.58,778057,749668363.85,1.03,-0.21,-0.02,0.4
9.67,9.63,9.68,9.61,605438,583664338.41,0.72,-0.31,-0.03,0.31
9.61,9.48,9.62,9.47,787378,750961219.91,1.56,-1.56,-0.15,0.41
9.44,9.5,9.57,9.4,753056,714029468.7,1.79,0.21,0.02,0.39
9.49,9.44,9.49,9.38,585380,552224831.17,1.16,-0.63,-0.06,0.3
9.41,9.3,9.45,9.3,1021152,957664580.59,1.59,-1.48,-0.14,0.53
9.22,9.35,9.38,9.13,1133663,1044765734.9,2.69,0.54,0.05,0.58
9.31,9.42,9.5,9.3,855016,805067628.46,2.14,0.75,0.07,0.44
9.38,9.16,9.39,9.15,1061302,981001231.48,2.55,-2.76,-0.26,0.55
9.21,9.15,9.28,9.15,742901,683211465.8,1.42,-0.11,-0.01,0.38
9.2,9.21,9.35,9.19,988939,915126127.17,1.75,0.66,0.06,0.51
9.18,9.13,9.24,9.09,654426,599379044.02,1.63,-0.87,-0.08,0.34
9.12,9.1,9.17,9.07,644071,586716664.28,1.1,-0.33,-0.03,0.33
9.11,9.03,9.15,9.03,715634,650511342.87,1.32,-0.77,-0.07,0.37
9.01,9.17,9.19,8.99,1017047,925407072.91,2.21,1.55,0.14,0.52
9.19,9.2,9.28,9.11,1005645,924998769.19,1.85,0.33,0.03,0.52
9.18,9.19,9.2,9.14,413971,379638233.73,0.65,-0.11,-0.01,0.21
